#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2009 01 04 01 00 182 10.1 191 13.1 0022
2009 01 04 01 10 184 10.3 999 99.0 9999
2009 01 04 01 20 184 11.1 999 99.0 9999
2009 01 04 01 30 185 11.7 999 99.0 9999
2009 01 04 01 40 185 11.4 999 99.0 9999
2009 01 04 01 50 195 12.0 999 99.0 9999
2009 01 04 02 00 194 12.9 198 15.4 0148
2009 01 04 02 10 194 12.8 999 99.0 9999
2009 01 04 02 20 197 12.3 999 99.0 9999
2009 01 04 02 30 190 11.8 999 99.0 9999
2009 01 04 02 40 185 11.7 999 99.0 9999
2009 01 04 02 50 181 10.6 999 99.0 9999
2009 01 04 03 00 179 10.6 196 15.4 0209
2009 01 04 03 10 182 10.5 999 99.0 9999
2009 01 04 03 20 182 10.8 999 99.0 9999
2009 01 04 03 30 185 10.4 999 99.0 9999
2009 01 04 03 40 183 10.2 999 99.0 9999
2009 01 04 03 50 183  9.9 999 99.0 9999
2009 01 04 04 00 187  9.4 174 13.0 0313
2009 01 04 04 10 184  9.0 999 99.0 9999
2009 01 04 04 20 190  8.9 999 99.0 9999
2009 01 04 04 30 198  8.9 999 99.0 9999
2009 01 04 04 40 200  8.8 999 99.0 9999
2009 01 04 04 50 200  9.2 999 99.0 9999
2009 01 04 05 00 196  9.1 199 11.3 0434
2009 01 04 05 10 200  9.1 999 99.0 9999
2009 01 04 05 20 198  9.4 999 99.0 9999
2009 01 04 05 30 192  9.9 999 99.0 9999
2009 01 04 05 40 193 10.3 999 99.0 9999
2009 01 04 05 50 193 10.6 999 99.0 9999
2009 01 04 06 00 194 10.9 200 13.2 0550
2009 01 04 06 10 195 10.2 999 99.0 9999
2009 01 04 06 20 195 11.3 999 99.0 9999
2009 01 04 06 30 192 11.5 999 99.0 9999
2009 01 04 06 40 191 11.5 999 99.0 9999
2009 01 04 06 50 189 10.7 999 99.0 9999
2009 01 04 07 00 185  9.4 189 13.1 0622
2009 01 04 07 10 186  9.8 999 99.0 9999
2009 01 04 07 20 191  9.5 999 99.0 9999
2009 01 04 07 30 180  9.0 999 99.0 9999
2009 01 04 07 40 184  8.8 999 99.0 9999
2009 01 04 07 50 187  9.1 999 99.0 9999
2009 01 04 08 00 172  8.4 187 11.5 0700
2009 01 04 08 10 168  7.7 999 99.0 9999
2009 01 04 08 20 176  8.4 999 99.0 9999
2009 01 04 08 30 178  7.7 999 99.0 9999
2009 01 04 08 40 166  6.7 999 99.0 9999
2009 01 04 08 50 163  6.5 999 99.0 9999
2009 01 04 09 00 173  7.4 170 10.7 0815
2009 01 04 09 10 166  6.8 999 99.0 9999
2009 01 04 09 20 152  4.5 999 99.0 9999
2009 01 04 09 30 144  4.2 999 99.0 9999
2009 01 04 09 40 137  4.7 999 99.0 9999
2009 01 04 09 50 139  4.5 999 99.0 9999
2009 01 04 10 00 139  4.9 171  8.6 0900
2009 01 04 10 10 144  4.9 999 99.0 9999
2009 01 04 10 20 146  5.0 999 99.0 9999
2009 01 04 10 30 144  4.8 999 99.0 9999
2009 01 04 10 40 144  4.9 999 99.0 9999
2009 01 04 10 50 144  5.0 999 99.0 9999
2009 01 04 11 00 137  4.8 137  6.4 1055
2009 01 04 11 10 147  4.7 999 99.0 9999
2009 01 04 11 20 147  5.3 999 99.0 9999
2009 01 04 11 30 142  5.4 999 99.0 9999
2009 01 04 11 40 146  5.3 999 99.0 9999
2009 01 04 11 50 152  5.0 999 99.0 9999
2009 01 04 12 00 153  5.3 153  7.0 1113
2009 01 04 12 10 154  5.9 999 99.0 9999
2009 01 04 12 20 153  5.5 999 99.0 9999
2009 01 04 12 30 150  5.9 999 99.0 9999
2009 01 04 12 40 148  5.8 999 99.0 9999
2009 01 04 12 50 149  5.9 999 99.0 9999
2009 01 04 13 00 150  5.9 151  7.4 1202
2009 01 04 13 10 149  5.9 999 99.0 9999
2009 01 04 13 20 148  5.8 999 99.0 9999
2009 01 04 13 30 151  5.5 999 99.0 9999
2009 01 04 13 40 146  5.1 999 99.0 9999
2009 01 04 13 50 150  4.9 999 99.0 9999
2009 01 04 14 00 155  4.3 149  6.8 1315
2009 01 04 14 10 153  4.4 999 99.0 9999
